Hour,Spaces_Left,Free Spaces  %,Occupancy,Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
10,8,3,97,1,0,0,0,0
11,3,1,99,1,0,0,0,0
12,2,1,99,1,0,0,0,0
13,1,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,0,0,100,1,0,0,0,0
16,8,3,97,1,0,0,0,0
17,90,38,62,1,0,0,0,0
18,190,81,19,1,0,0,0,0
19,205,87,13,1,0,0,0,0
20,226,96,4,1,0,0,0,0
21,226,96,4,1,0,0,0,0
22,226,96,4,1,0,0,0,0
23,226,96,4,1,0,0,0,0
0,226,96,4,1,0,0,0,0
1,226,96,4,1,0,0,0,0
2,226,96,4,1,0,0,0,0
3,226,96,4,1,0,0,0,0
4,226,96,4,1,0,0,0,0
5,226,96,4,1,0,0,0,0
6,226,96,4,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,180,77,23,1,0,0,0,0
9,40,17,83,1,0,0,0,0
10,12,5,95,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,5,2,98,1,0,0,0,0
16,10,4,96,1,0,0,0,0
17,80,34,66,1,0,0,0,0
18,210,89,11,1,0,0,0,0
19,218,93,7,1,0,0,0,0
20,225,96,4,1,0,0,0,0
21,225,96,4,1,0,0,0,0
22,225,96,4,1,0,0,0,0
23,225,96,4,1,0,0,0,0
0,225,96,4,1,0,0,0,0
1,225,96,4,1,0,0,0,0
2,225,96,4,1,0,0,0,0
3,225,96,4,1,0,0,0,0
4,225,96,4,1,0,0,0,0
5,225,96,4,1,0,0,0,0
6,160,68,32,1,0,0,0,0
7,130,55,45,1,0,0,0,0
8,19,8,92,1,0,0,0,0
9,0,0,100,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,2,1,99,1,0,0,0,0
15,5,2,98,1,0,0,0,0
16,20,9,91,1,0,0,0,0
17,85,36,64,1,0,0,0,0
18,217,92,8,1,0,0,0,0
19,230,98,2,1,0,0,0,0
20,230,98,2,1,0,0,0,0
21,230,98,2,1,0,0,0,0
22,230,98,2,1,0,0,0,0
23,230,98,2,1,0,0,0,0
0,230,98,2,1,0,0,0,0
1,230,98,2,1,0,0,0,0
2,230,98,2,1,0,0,0,0
3,230,98,2,1,0,0,0,0
4,230,98,2,1,0,0,0,0
5,230,98,2,1,0,0,0,0
6,170,72,28,1,0,0,0,0
7,150,64,36,1,0,0,0,0
8,20,9,91,1,0,0,0,0
9,10,4,96,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,7,3,97,1,0,0,0,0
16,30,13,87,1,0,0,0,0
17,70,30,70,1,0,0,0,0
18,120,51,49,1,0,0,0,0
19,190,81,19,1,0,0,0,0
20,220,94,6,1,0,0,0,0
21,220,94,6,1,0,0,0,0
22,220,94,6,1,0,0,0,0
23,220,94,6,1,0,0,0,0
0,220,94,6,1,0,0,0,0
1,220,94,6,1,0,0,0,0
2,220,94,6,1,0,0,0,0
3,220,94,6,1,0,0,0,0
4,220,94,6,1,0,0,0,0
5,220,94,6,1,0,0,0,0
6,200,85,15,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,30,13,87,1,0,0,0,0
9,13,6,94,1,0,0,0,0
10,10,4,96,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,3,1,99,1,0,0,0,0
14,4,2,98,1,0,0,0,0
15,6,3,97,1,0,0,0,0
16,40,17,83,1,0,0,0,0
17,130,55,45,1,0,0,0,0
18,210,89,11,1,0,0,0,0
19,220,94,6,1,0,0,0,0
20,220,94,6,1,0,0,0,0
21,220,94,6,1,0,0,0,0
22,220,94,6,1,0,0,0,0
23,220,94,6,1,0,0,0,0
0,220,94,6,0,1,0,0,0
1,220,94,6,0,1,0,0,0
2,220,94,6,0,1,0,0,0
3,220,94,6,0,1,0,0,0
4,220,94,6,0,1,0,0,0
5,220,94,6,0,1,0,0,0
6,186,79,21,0,1,0,0,0
7,80,34,66,0,1,0,0,0
8,28,12,88,0,1,0,0,0
9,10,4,96,0,1,0,0,0
10,8,3,97,0,1,0,0,0
11,8,3,97,0,1,0,0,0
12,6,3,97,0,1,0,0,0
13,4,2,98,0,1,0,0,0
14,5,2,98,0,1,0,0,0
15,12,5,95,0,1,0,0,0
16,40,17,83,0,1,0,0,0
17,90,38,62,0,1,0,0,0
18,170,72,28,0,1,0,0,0
19,190,81,19,0,1,0,0,0
20,225,96,4,0,1,0,0,0
21,225,96,4,0,1,0,0,0
22,225,96,4,0,1,0,0,0
23,225,96,4,0,1,0,0,0
0,225,96,4,0,1,0,0,0
1,225,96,4,0,1,0,0,0
2,225,96,4,0,1,0,0,0
3,225,96,4,0,1,0,0,0
4,225,96,4,0,1,0,0,0
5,225,96,4,0,1,0,0,0
6,200,85,15,0,1,0,0,0
7,190,81,19,0,1,0,0,0
8,160,68,32,0,1,0,0,0
9,160,68,32,0,1,0,0,0
10,160,68,32,0,1,0,0,0
11,160,68,32,0,1,0,0,0
12,160,68,32,0,1,0,0,0
13,160,68,32,0,1,0,0,0
14,160,68,32,0,1,0,0,0
15,160,68,32,0,1,0,0,0
16,180,77,23,0,1,0,0,0
17,190,81,19,0,1,0,0,0
18,230,98,2,0,1,0,0,0
19,232,99,1,0,1,0,0,0
20,232,99,1,0,1,0,0,0
21,232,99,1,0,1,0,0,0
22,232,99,1,0,1,0,0,0
23,232,99,1,0,1,0,0,0
0,232,99,1,1,0,0,0,0
1,232,99,1,1,0,0,0,0
2,232,99,1,1,0,0,0,0
3,232,99,1,1,0,0,0,0
4,232,99,1,1,0,0,0,0
5,232,99,1,1,0,0,0,0
6,204,87,13,1,0,0,0,0
7,195,83,17,1,0,0,0,0
8,45,19,81,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,5,2,98,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,0,0,100,1,0,0,0,0
16,4,2,98,1,0,0,0,0
17,30,13,87,1,0,0,0,0
18,110,47,53,1,0,0,0,0
19,198,84,16,1,0,0,0,0
20,210,89,11,1,0,0,0,0
21,218,93,7,1,0,0,0,0
22,218,93,7,1,0,0,0,0
23,218,93,7,1,0,0,0,0
0,218,93,7,1,0,0,0,0
1,218,93,7,1,0,0,0,0
2,218,93,7,1,0,0,0,0
3,218,93,7,1,0,0,0,0
4,218,93,7,1,0,0,0,0
5,218,93,7,1,0,0,0,0
6,202,86,14,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,20,9,91,1,0,0,0,0
9,10,4,96,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,4,2,98,1,0,0,0,0
16,10,4,96,1,0,0,0,0
17,20,9,91,1,0,0,0,0
18,60,26,74,1,0,0,0,0
19,210,89,11,1,0,0,0,0
20,220,94,6,1,0,0,0,0
21,220,94,6,1,0,0,0,0
22,220,94,6,1,0,0,0,0
23,220,94,6,1,0,0,0,0
0,220,94,6,1,0,0,0,0
1,220,94,6,1,0,0,0,0
2,220,94,6,1,0,0,0,0
3,220,94,6,1,0,0,0,0
4,220,94,6,1,0,0,0,0
5,220,94,6,1,0,0,0,0
6,210,89,11,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,20,9,91,1,0,0,0,0
9,18,8,92,1,0,0,0,0
10,9,4,96,1,0,0,0,0
11,3,1,99,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,3,1,99,1,0,0,0,0
16,2,1,99,1,0,0,0,0
17,30,13,87,1,0,0,0,0
18,60,26,74,1,0,0,0,0
19,216,92,8,1,0,0,0,0
20,221,94,6,1,0,0,0,0
21,221,94,6,1,0,0,0,0
22,221,94,6,1,0,0,0,0
23,221,94,6,1,0,0,0,0
0,221,94,6,1,0,0,0,0
1,221,94,6,1,0,0,0,0
2,221,94,6,1,0,0,0,0
3,221,94,6,1,0,0,0,0
4,221,94,6,1,0,0,0,0
5,221,94,6,1,0,0,0,0
6,210,89,11,1,0,0,0,0
7,195,83,17,1,0,0,0,0
8,18,8,92,1,0,0,0,0
9,7,3,97,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,6,3,97,1,0,0,0,0
15,9,4,96,1,0,0,0,0
16,11,5,95,1,0,0,0,0
17,70,30,70,1,0,0,0,0
18,95,40,60,1,0,0,0,0
19,130,55,45,1,0,0,0,0
20,210,89,11,1,0,0,0,0
21,220,94,6,1,0,0,0,0
22,220,94,6,1,0,0,0,0
