Hour,Occupancy(%),Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
17,70,1,0,0,0,0
18,56,1,0,0,0,0
19,45,1,0,0,0,0
20,11,1,0,0,0,0
21,5,1,0,0,0,0
22,5,1,0,0,0,0
23,5,1,0,0,0,0
0,5,1,0,0,0,0
1,5,1,0,0,0,0
2,5,1,0,0,0,0
3,5,1,0,0,0,0
4,5,1,0,0,0,0
5,5,1,0,0,0,0
6,19,1,0,0,0,0
7,66,1,0,0,0,0
8,87,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,99,1,0,0,0,0
16,98,1,0,0,0,0
17,83,1,0,0,0,0
18,74,1,0,0,0,0
19,49,1,0,0,0,0
20,9,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,23,1,0,0,0,0
7,53,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,94,1,0,0,0,0
17,74,1,0,0,0,0
18,53,1,0,0,0,0
19,51,1,0,0,0,0
20,7,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,23,1,0,0,0,0
7,45,1,0,0,0,0
8,70,1,0,0,0,0
9,92,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,99,1,0,0,0,0
16,97,1,0,0,0,0
17,74,1,0,0,0,0
18,66,1,0,0,0,0
19,51,1,0,0,0,0
20,4,1,0,0,0,0
21,3,1,0,0,0,0
22,3,1,0,0,0,0
23,3,1,0,0,0,0
0,3,1,0,0,0,0
1,3,1,0,0,0,0
2,3,1,0,0,0,0
3,3,1,0,0,0,0
4,3,1,0,0,0,0
5,3,1,0,0,0,0
6,53,1,0,0,0,0
7,66,1,0,0,0,0
8,94,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,97,1,0,0,0,0
16,94,1,0,0,0,0
17,70,1,0,0,0,0
18,53,1,0,0,0,0
19,36,1,0,0,0,0
20,6,1,0,0,0,0
21,3,1,0,0,0,0
22,3,1,0,0,0,0
23,3,1,0,0,0,0
0,3,0,1,0,0,0
1,3,0,1,0,0,0
2,3,0,1,0,0,0
3,3,0,1,0,0,0
4,3,0,1,0,0,0
5,3,0,1,0,0,0
6,19,0,1,0,0,0
7,53,0,1,0,0,0
8,74,0,1,0,0,0
9,79,0,1,0,0,0
10,79,0,1,0,0,0
11,77,0,1,0,0,0
12,77,0,1,0,0,0
13,74,0,1,0,0,0
14,72,0,1,0,0,0
15,72,0,1,0,0,0
16,70,0,1,0,0,0
17,62,0,1,0,0,0
18,53,0,1,0,0,0
19,40,0,1,0,0,0
20,5,0,1,0,0,0
21,5,0,1,0,0,0
22,5,0,1,0,0,0
23,5,0,1,0,0,0
0,5,0,1,0,0,0
1,5,0,1,0,0,0
2,5,0,1,0,0,0
3,5,0,1,0,0,0
4,5,0,1,0,0,0
5,5,0,1,0,0,0
6,28,0,1,0,0,0
7,74,0,1,0,0,0
